Founding_Year,Job_Title,Salary_Estimate_k,Rating,Company_Name,Location,Size,Type_ownership,Industry,Sector
2005,IT Business Analyst,134,3.8,"Diversant LLC
3.8","Glendale, CA",100,Company - Private,Staffing & Outsourcing,Business Services
1957,Business Analyst,134,3,"Athens Services
3.0","City of Industry, CA",100,Other Organization,Transportation Management,Transportation & Logistics
1996,Business Analyst,134,3.9,"Keyrus Group
3.9","Commerce, CA",100,Company - Public,IT Services,Information Technology
Investment Banking & Asset Management,Production Business Analyst,134,4.5,"TechLink Resources
4.5","Culver City, CA",100,Company - Private,Consulting,Business Services
2003,"Business Analyst, Support",134,3.7,"Turner Broadcasting
3.7","Burbank, CA",100,Subsidiary_ Business_Segment,TV Broadcast & Cable Networks,Media
Investment Banking & Asset Management,Business Systems Analyst III,134,3.6,"Superior Court of California County of Los Angeles
3.6","Los Angeles, CA",100,Government,Municipal Governments,Government
2019,Business Analyst,134,3.4,"L3Harris
3.4","Torrance, CA",100,Company - Public,Aerospace & Defense,Aerospace & Defense
Investment Banking & Asset Management,Business Analyst,134,Investment Banking & Asset Management,VULTUSINC,"Bell, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1993,Business Analyst 3,118,4.5,"Rose International
4.5","Rosemead, CA",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,118,Investment Banking & Asset Management,Groundwork Coffee Roasters,"Los Angeles, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1977,HR Analyst,118,3.4,"Harbor Freight Tools
3.4","Calabasas, CA",100,Company - Private,Home Centers & Hardware Stores,Retail
2002,Sales Incentive Analyst,118,3.5,"Bluebeam, Inc.
3.5","Pasadena, CA",100,Subsidiary_ Business_Segment,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,Business Analyst,118,Investment Banking & Asset Management,Caliber Sourcing,"Los Angeles, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1894,Business Systems Analyst- Project Management Applications,118,2.3,"Tutor Perini
2.3","Los Angeles, CA",100,Company - Public,Construction,"Construction, Repair & Maintenance"
Investment Banking & Asset Management,Business Analyst,118,2.5,"Enclipse
2.5","Burbank, CA",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,BSA Analyst,118,2.6,"Hanmi Bank
2.6","Los Angeles, CA",100,Company - Public,Banks & Credit Unions,Finance
Investment Banking & Asset Management,Technical Business Analyst,118,3.7,"Aristotle Capital Management
3.7","Los Angeles, CA",100,Company - Private,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,118,3,"Northeast Community Clinics
3.0","Alhambra, CA",100,Company - Private,Health Care Services & Hospitals,Health Care
1931,Market Data Analyst,118,3.9,"Capital Group
3.9","Los Angeles, CA",100,Company - Private,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,118,Investment Banking & Asset Management,Trovetechs Inc,"Manhattan Beach, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2014,Data Analyst,118,5,"Wellth Inc.
5.0","Los Angeles, CA",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business Analyst,118,3.1,"Aramco Imports Inc
3.1","Commerce, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,118,Investment Banking & Asset Management,Rishabh RPO,"Pasadena, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1996,Associate Reporting Analyst,118,3.2,"Stamps.com
3.2","El Segundo, CA",100,Company - Public,Computer Hardware & Software,Information Technology
1906,Sr. Business Analyst,118,3.8,"NBC Universal
3.8","Burbank, CA",100,Company - Public,TV Broadcast & Cable Networks,Media
1979,Business System Analyst,118,3.5,"Midcom
3.5","Rosemead, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,118,5,"ALLStem
5.0","Rosemead, CA",100,Unknown,Investment Banking & Asset Management,Investment Banking & Asset Management
1986,Business Systems Analyst - Techincal Program Manager,118,4.1,"Aquent
4.1","Los Angeles, CA",100,Company - Private,Staffing & Outsourcing,Business Services
1953,Business Analyst,118,3,"CJ Cheiljedang
3.0","La Palma, CA",100,Company - Private,Consumer Products Manufacturing,Manufacturing
1977,IT Systems Analyst,118,3.4,"Harbor Freight Tools
3.4","Calabasas, CA",100,Company - Private,Home Centers & Hardware Stores,Retail
2008,Business Analyst,118,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
1964,Business Analyst,118,3.3,"AppleOne
3.3","Los Angeles, CA",100,Company - Private,Staffing & Outsourcing,Business Services
1966,Business Analyst IV,118,4.1,"Kforce
4.1","Los Angeles, CA",100,Company - Public,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,118,4,"Lorven Technologies Inc
4.0","Burbank, CA",100,Company - Private,Accounting,Accounting & Legal
1983,Business Analyst,118,2.5,"JM Eagle
2.5","Los Angeles, CA",100,Company - Private,Industrial Manufacturing,Manufacturing
2003,Business Operations Analyst BF,118,4,"Mainz Brady Group
4.0","Los Angeles, CA",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Data Analyst,118,Investment Banking & Asset Management,Hospitality Training Academy,"Los Angeles, CA",100,Nonprofit Organization,Investment Banking & Asset Management,Investment Banking & Asset Management
2001,Business Solutions Analyst,118,3.6,"Torrid
3.6","City of Industry, CA",100,Company - Private,"Department, Clothing, & Shoe Stores",Retail
2015,Sr. Business Intelligence Analyst,151,4,"NEXT Trucking
4.0","El Segundo, CA",100,Company - Private,Logistics & Supply Chain,Transportation & Logistics
Investment Banking & Asset Management,Management Consulting - Business Analyst,151,5,"Process Research and Optimization
5.0","Los Angeles, CA",100,Company - Private,Consulting,Business Services
1984,Business Analyst,151,1.7,"Crystal Stairs
1.7","Los Angeles, CA",100,Nonprofit Organization,Social Assistance,Non-Profit
Investment Banking & Asset Management,Business Systems Analyst,151,3.6,"Randstad
3.6","Burbank, CA",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Senior Business Analyst,151,Investment Banking & Asset Management,Eleven Recruiting - CHURN,"Los Angeles, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst Lead,151,Investment Banking & Asset Management,IT Avalon,"Monterey Park, CA",100,Unknown,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,151,2.6,"TRISTAR Risk Management
2.6","Signal Hill, CA",100,Company - Private,Insurance Agencies & Brokerages,Insurance
1999,Business Analyst,151,4.1,"UST Global
4.1","Cerritos, CA",100,Company - Private,IT Services,Information Technology
2014,Data Analyst,151,4.1,"Signal Sciences
4.1","Los Angeles, CA",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business Analyst,151,3.8,"Login Consulting Services, Inc
3.8","Culver City, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,151,2.9,"NTT DATA, Inc.
2.9","Burbank, CA",100,Company - Private,Accounting,Accounting & Legal
2014,Data Analyst,151,3.9,"Lucky Day
3.9","Los Angeles, CA",100,Company - Private,Internet,Information Technology
Investment Banking & Asset Management,Business Systems Analyst,151,Investment Banking & Asset Management,Caliber Sourcing,"Los Angeles, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,CRM Administrator / Business Analyst (Finance Industry),151,3.3,"Kayne Anderson Rudnick
3.3","Los Angeles, CA",100,Subsidiary_ Business_Segment,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Systems Analyst,151,Investment Banking & Asset Management,Kforce Technology Staffing,"Burbank, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1888,Business System Analyst,151,3.6,"Abbott Laboratories
3.6","Sylmar, CA",100,Company - Public,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,Business Analyst,151,Investment Banking & Asset Management,"Recargo, Inc., makers of PlugShare","El Segundo, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1997,Operational Assurance Business Analyst III,151,3.1,"L.A. Care Health Plan
3.1","Los Angeles, CA",100,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,Business Analyst/Specialist,151,3.5,"Leo Tech, LLC
3.5","Long Beach, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2002,Data Analyst,151,3.1,"Relevante, Inc.
3.1","Los Angeles, CA",100,Company - Private,Consulting,Business Services
2003,"Business Analyst, Sales and Avails",151,3.7,"Turner Broadcasting
3.7","Burbank, CA",100,Subsidiary_ Business_Segment,TV Broadcast & Cable Networks,Media
Investment Banking & Asset Management,Business Systems Analyst,151,Investment Banking & Asset Management,Pacific Technical Staffing,"Fullerton, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1999,Technical Lead / Business Analyst,151,4.6,"USDM Life Sciences
4.6","Santa Monica, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Project Manager / Business Analyst,151,2.9,"DNTG
2.9","Buena Park, CA",100,Company - Private,Colleges & Universities,Education
Investment Banking & Asset Management,"Business Analyst, Transaction Advisory Services - Capital Transformation - Operational Transaction S",151,Investment Banking & Asset Management,Ernst & Young LLP,"Los Angeles, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1996,Financial Operations Analyst,151,3.2,"Stamps.com
3.2","El Segundo, CA",100,Company - Public,Computer Hardware & Software,Information Technology
1908,Business Systems Analyst for HR and Payroll,151,4.1,"Biola University
4.1","La Mirada, CA",100,College / University,Colleges & Universities,Education
1968,Business Analyst,151,3.9,"PEAK Technical Staffing USA
3.9","Wilmington, CA",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,IT Business Analyst,151,Investment Banking & Asset Management,San Gabriel Valley Water Company,"Whittier, CA",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
2018,Survey Data Analyst,151,5,"First Professional Services
5.0","Los Angeles, CA",100,Subsidiary_ Business_Segment,Internet,Information Technology
1997,Business Analyst II,151,3.1,"L.A. Care Health Plan
3.1","Los Angeles, CA",100,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1913,"Research Business Director, Manager, Administrator and Pre/Post Award Financial Analyst positions",186,3.3,"City of Hope
3.3","Duarte, CA",100,Nonprofit Organization,Health Care Services & Hospitals,Health Care
1954,IT Business Analyst (Temporary),186,3.2,"Motion Picture Industry Pension & Health Plans
3.2","Los Angeles, CA",100,Nonprofit Organization,Health Fundraising Organizations,Non-Profit
1989,Business Analyst,186,4.5,"Century Group (CA)
4.5","El Segundo, CA",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Senior Business Analyst,186,Investment Banking & Asset Management,Caliber Sourcing,"Los Angeles, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1981,Business Analyst,186,2.6,"Superior Grocers
2.6","Santa Fe Springs, Los Angeles, CA",100,Company - Private,Food & Beverage Stores,Retail
Investment Banking & Asset Management,Business Analyst,186,Investment Banking & Asset Management,Pinkus Partners,"Los Angeles, CA",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
1935,Wealth Management Analyst*,186,3.8,"Morgan Stanley
3.8","Pasadena, CA",100,Company - Public,Investment Banking & Asset Management,Finance
2002,Senior Business Analyst,186,3.5,"RemX
3.5","Los Angeles, CA",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst IV,186,Investment Banking & Asset Management,Kforce Technology Staffing,"Los Angeles, CA",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2004,Sharepoint Business Analyst,186,4.3,"IT Resonance Inc
4.3","Long Beach, CA",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,186,Investment Banking & Asset Management,Eleven Recruiting - CHURN,"Los Angeles, CA",100,Company - Private,IT Services,Information Technology
1966,Business Systems Analyst,186,4.1,"Kforce
4.1","Burbank, CA",100,Company - Public,Staffing & Outsourcing,Business Services
2001,Salesforce Applications Analyst,186,3.9,"BlackLine
3.9","Woodland Hills, CA",100,Company - Public,Computer Hardware & Software,Information Technology
2008,Jr. Business Analyst,186,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",100,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst (Media),186,3.9,"IT Trailblazers
3.9","Los Angeles, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Senior Business Analyst,186,3.8,"Login Consulting Services, Inc
3.8","Culver City, CA",100,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,186,4.5,"UNICON International, Inc
4.5","Torrance, CA",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2012,Salesforce Business Analyst,186,4.4,"Elements Real Estate
4.4","El Segundo, CA",100,Company - Private,Real Estate,Real Estate
2008,Business Analyst (0-2 yrs),186,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1971,Data Governance Analyst,186,3.5,"Western Asset Management
3.5","Pasadena, CA",1000,Subsidiary_ Business_Segment,Investment Banking & Asset Management,Finance
2005,Business Systems Analyst,186,3.3,"PROLIM Global Corporation
3.3","Hawthorne, CA",1000,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Senior Business Analyst,186,Investment Banking & Asset Management,Eleven Recruiting - CHURN,"Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1964,Business Analyst -,186,3.3,"AppleOne
3.3","Los Angeles, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst (Volunteer),186,2,"WhoWhatWhy
2.0","Los Angeles, CA",1000,Nonprofit Organization,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Systems Analyst,186,3.4,"Siri InfoSolutions
3.4","Brea, CA",1000,Company - Private,Consulting,Business Services
1954,Business Systems Analyst II,186,3.6,"City National Bank
3.6","Los Angeles, CA",1000,Subsidiary_ Business_Segment,Banks & Credit Unions,Finance
1977,Space Division Business Analyst,186,3.7,"Management Consulting & Research
3.7","El Segundo, CA",1000,Company - Private,Aerospace & Defense,Aerospace & Defense
1984,AML Risk Model Validation and Business Analyst,186,3.3,"Sterling Bank and Trust, FSB
3.3","Alhambra, CA",1000,Company - Public,Banks & Credit Unions,Finance
1996,"Business Analyst - SQL and Web technologies including JavaScript, CSS and HTML",186,4,"Prosum
4.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Sr Business Systems Analyst,186,3.6,"Randstad
3.6","Culver City, CA",1000,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
2008,Urgent - Business Analyst (0 to 2 years),186,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1948,Mid-level Business Analyst,186,3.5,"Robert Half
3.5","Los Angeles, CA",1000,Company - Public,Staffing & Outsourcing,Business Services
1999,ISM Business Analyst/Developer,79,4.2,"CyberCoders
4.2","Artesia, CA",1000,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
1885,Strategic Planning & Business Development Analyst - Strategy - Full Time 8 Hour Days (Exempt) (Non-Union),79,4,"Keck Medicine of USC
4.0","Los Angeles, CA",1000,Hospital,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,"Business Analyst, Transaction Advisory Services (Operational Transaction Services - Supply Chain) (M",79,Investment Banking & Asset Management,Ernst & Young LLP,"Los Angeles, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2002,Federal - Sr Business Analyst,79,4.2,"Solekai Systems Corp
4.2","Los Angeles, CA",1000,Company - Private,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,Project Analyst,79,Investment Banking & Asset Management,Three Point Solutions,"Los Angeles, CA",1000,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
2007,Data Analyst,79,4.7,"PlayQ
4.7","Santa Monica, CA",1000,Company - Private,Video Games,Media
Investment Banking & Asset Management,Business Analyst / ERP Business Analyst,79,4,"Two95 International Inc.
4.0","Los Angeles, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
2008,Business Analyst LevelInvestment Banking & Asset Management,79,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1955,Portfolio Analyst,79,3.3,"Wedbush Securities
3.3","Los Angeles, CA",1000,Company - Private,Investment Banking & Asset Management,Finance
2003,"Sr. Business Analyst, Finance- IP Licensing",79,3.7,"Turner Broadcasting
3.7","Burbank, CA",1000,Subsidiary_ Business_Segment,TV Broadcast & Cable Networks,Media
Investment Banking & Asset Management,BIDW Business Analyst,79,2.5,"Enclipse
2.5","Burbank, CA",1000,Company - Private,IT Services,Information Technology
2003,"Business Analyst (Epic/ Clarity, Teradata)",79,4.3,"Q Analysts
4.3","Pasadena, CA",1000,Company - Private,Consulting,Business Services
1996,Data Analyst,79,4.3,"ConsultNet, LLC
4.3","Burbank, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Systems Analyst with Sailpoint experience,79,4.5,"TechLink Resources
4.5","Los Angeles, CA",1000,Company - Private,Consulting,Business Services
2008,Urgent - Business Analyst (0-2 yrs Required),79,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1970,PO Business Analyst,79,3.5,"The Judge Group, Inc.
3.5","Los Angeles, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
1889,Business Systems Analyst,79,3.4,"First American Financial Corporation
3.4","West Hills, CA",1000,Company - Public,Insurance Carriers,Insurance
1880,Senior Business Analyst (ERP),79,4.2,"University of Southern California
4.2","Los Angeles, CA",1000,College / University,Colleges & Universities,Education
1996,Business Analyst,79,3,"MedPOINT Management
3.0","Woodland Hills, CA",1000,Company - Private,Health Care Services & Hospitals,Health Care
1935,Business System Analyst,79,3.4,"Beckman Coulter Diagnostics
3.4","Brea, CA",1000,Subsidiary_ Business_Segment,Health Care Products Manufacturing,Manufacturing
1880,Organizational Change Management Analyst,79,4.2,"University of Southern California
4.2","Los Angeles, CA",1000,College / University,Colleges & Universities,Education
Investment Banking & Asset Management,Business Intelligence Analyst,79,3.2,"Farmers and Merchants Bank of Long Beach
3.2","Seal Beach, CA",1000,Company - Public,Investment Banking & Asset Management,Finance
2017,"Senior Business Systems Analyst, Engineering - Future Consideration",79,3.4,"Virgin Orbit
3.4","Long Beach, CA",1000,Company - Private,Aerospace & Defense,Aerospace & Defense
Investment Banking & Asset Management,Technical Business Analyst,79,Investment Banking & Asset Management,CivicMinds Inc,"South Gate, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst Asset Data Management,79,4,"NRC INC
4.0","Los Angeles, CA",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1992,SharePoint Migration Business Analyst,79,2.6,"Tentek, Inc.
2.6","Los Angeles, CA",1000,Company - Private,Consulting,Business Services
1911,Microsoft Dynamics CRM Data Analyst,79,3.7,"IBM
3.7","Los Angeles, CA",1000,Company - Public,IT Services,Information Technology
1973,Budget Analyst,79,3.8,"Tecolote Research
3.8","El Segundo, CA",1000,Company - Private,Aerospace & Defense,Aerospace & Defense
Investment Banking & Asset Management,Senior Business Analyst,79,Investment Banking & Asset Management,"Recruiting Resources, Inc.","El Segundo, CA",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1982,"Business Analysis Manager, Finance",79,2.8,"99 Cents Only
2.8","Commerce, CA",1000,Company - Private,General Merchandise & Superstores,Retail
1948,Senior Business Analyst,79,3.5,"Robert Half
3.5","North Hollywood, CA",1000,Company - Public,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Systems Analyst with Sailpoint and IDM experience,79,4.5,"TechLink Resources
4.5","Los Angeles, CA",1000,Company - Private,Consulting,Business Services
1971,"Sr. IT Business Analyst, Supply Chain",160,3.6,"Pharmavite
3.6","West Hills, CA",1000,Company - Private,Consumer Products Manufacturing,Manufacturing
2001,Manager Business Analysis,160,3,"LegalZoom
3.0","Glendale, CA",1000,Company - Private,Internet,Information Technology
Investment Banking & Asset Management,Senior Cost Engineer/Analyst,160,Investment Banking & Asset Management,Space EA Systems,"Los Angeles, CA",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2008,Urgent - Business Analyst,160,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
2000,Business Systems Analyst - Salesforce,160,4.6,"120VC
4.6","Los Angeles, CA",1000,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst ( With Kinaxis Rapid Response) |,160,Investment Banking & Asset Management,Acclive Inc.,"Santa Monica, CA",1000,Unknown,Investment Banking & Asset Management,Investment Banking & Asset Management
2010,Compliance Analyst- Ad Review,160,3,"Cetera Financial Group
3.0","El Segundo, CA",1000,Company - Private,Investment Banking & Asset Management,Finance
2013,Business Intelligence Analyst Tableau From Scratch & Performance Bonuses,160,2.8,"Camden Kelly Corporation
2.8","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Kinaxis Rapid Response Business Analyst (No Third Party),160,Investment Banking & Asset Management,ITGen Systems,"Los Angeles, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2000,IT Business Analyst (Financial Systems),160,3.7,"iSpace, Inc
3.7","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
2018,SAP BPC Business Analyst,160,3,"Unibail-Rodamco-Westfield
3.0","Los Angeles, CA",1000,Company - Public,Real Estate,Real Estate
Investment Banking & Asset Management,Scenechronize Business Analyst,160,2.9,"NTT DATA, Inc.
2.9","Culver City, CA",1000,Company - Private,Accounting,Accounting & Legal
Investment Banking & Asset Management,Salesforce Functional Business Analyst with Media,160,4,"Lorven Technologies Inc
4.0","Los Angeles, CA",1000,Company - Private,Accounting,Accounting & Legal
1906,Credit and Collections Analyst,160,4.1,"Bobrick Washroom Equipment
4.1","North Hollywood, CA",1000,Company - Private,Miscellaneous Manufacturing,Manufacturing
1994,BIDW Business Analyst,160,3.4,"Disys
3.4","Burbank, CA",1000,Company - Private,IT Services,Information Technology
2008,Business System Analyst,160,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
2017,Senior Data Analyst,160,3.6,"Steady
3.6","Los Angeles, CA",1000,Company - Private,Internet,Information Technology
Investment Banking & Asset Management,"Business Analyst, Support",160,5,"WB Technology
5.0","Burbank, CA",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,SAP Finance Business Analyst,160,4,"Lorven Technologies Inc
4.0","Los Angeles, CA",1000,Company - Private,Accounting,Accounting & Legal
1998,"Senior Analyst, Strategic Analysis",160,3.3,"Beachbody
3.3","Santa Monica, CA",1000,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Investment Banking & Asset Management,OFSAA Techno-Functional(Business Analysis),160,3.4,"Edkal Technologies pvt ltd
3.4","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
2002,Project Analyst,160,3.1,"Hawker Pacific Aerospace
3.1","Sun Valley, CA",1000,Subsidiary_ Business_Segment,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance"
2008,Data Analyst,160,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Rapid Response Kinaxis Business Analyst,160,3.9,"IT Trailblazers
3.9","Los Angeles, CA",1000,Company - Private,Consulting,Business Services
1958,SAP FICO Analyst,160,4,"Arlon Graphics
4.0","Placentia, CA",1000,Subsidiary_ Business_Segment,Consumer Products Manufacturing,Manufacturing
2002,Entry Level Accenture Infrastructure Advisory Analyst,160,4.2,"Solekai Systems Corp
4.2","El Segundo, CA",1000,Company - Private,Computer Hardware & Software,Information Technology
2008,Business Analyst (0-2 yrs Required),160,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1996,Business Systems Analyst (ServiceNow),160,4,"Prosum
4.0","Rossmoor, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst-with IBM Sterling OMS Commerce,160,4,"Lorven Technologies Inc
4.0","Glendale, CA",1000,Company - Private,Accounting,Accounting & Legal
2008,Jr. Level Business Analyst,160,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1885,Programmer Analyst II - MSO Business Intelligence - Full Time 8 Days (Non-Exempt) (Non-Union),68,4,"Keck Medicine of USC
4.0","Alhambra, CA",1000,Hospital,Health Care Services & Hospitals,Health Care
2008,Entry level - Business Analyst,68,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
2008,Business Analyst (0-2 yrs),68,5,"Staffigo Technical Services, LLC
5.0","Los Angeles, CA",1000,Company - Private,IT Services,Information Technology
1905,"Analyst, Investment Accounting",68,3.5,"Lincoln Financial
3.5","Los Angeles, CA",1000,Company - Public,Insurance Carriers,Insurance
2002,Business Intelligence Analyst,68,3.4,"Casting Networks
3.4","Los Angeles, CA",1000,Company - Private,Enterprise Software & Network Solutions,Information Technology
1888,Data Analyst,68,4,"Swinerton Builders
4.0","Los Angeles, CA",1000,Company - Private,Construction,"Construction, Repair & Maintenance"
2006,Systems Analyst,68,3.7,"Hudson Pacific Properties
3.7","Los Angeles, CA",1000,Company - Public,Real Estate,Real Estate
Investment Banking & Asset Management,Systems Analyst,68,Investment Banking & Asset Management,Kforce Technology Staffing,"Los Angeles, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,"Sr. Business Analyst, Content & Information Security",68,3.3,"The Walt Disney Studios
3.3","Glendale, CA",1000,Subsidiary_ Business_Segment,Motion Picture Production & Distribution,Media
Investment Banking & Asset Management,Data Analyst,68,Investment Banking & Asset Management,Eleven Recruiting - CHURN,"Los Angeles, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Supply Chain Business Analyst,68,4,"Lorven Technologies Inc
4.0","Burbank, CA",1000,Company - Private,Accounting,Accounting & Legal
1997,Data Analyst,68,4.5,"HireTalent
4.5","Los Angeles, CA",1000,Company - Private,Staffing & Outsourcing,Business Services
1984,MBA Sector Analyst (Entry Level),68,3.8,"Bentley Systems
3.8","Los Angeles, CA",1000,Company - Private,Computer Hardware & Software,Information Technology
2014,Marketing Analyst,64,4.2,"Thrive Market
4.2","Los Angeles, CA",1000,Company - Private,"Health, Beauty, & Fitness",Consumer Services
Investment Banking & Asset Management,Business Intelligence Analyst,64,3.4,"EMINENT, INC.
3.4","Cerritos, CA",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Senior Business Systems Analyst,64,Investment Banking & Asset Management,Therabody,"Los Angeles, CA",1000,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1959,Lead Business Intelligence Analyst - Nutrition Portfolio,64,3.5,"Amway Corp
3.5","Buena Park, CA",1000,Company - Private,Consumer Products Manufacturing,Manufacturing
